label,value,tribe,eliminated
Aubry Bracco,aubry-bracco,kama,FALSE
Aurora McCreary,aurora-mccreary,kama,FALSE
Chris Underwood,chris-underwood,manu,FALSE
Dan TheWardog DaSilva,dan-thewardog-dasilva,manu,FALSE
David Wright,david-wright,manu,FALSE
Eric Hafemann,eric-hafemann,kama,FALSE
Gavin Whitson,gavin-whitson,kama,FALSE
Joe Anglim,joe-anglim,kama,FALSE
Julia Carter,julia-carter,kama,FALSE
Julie Rosenberg,julie-rosenberg,kama,FALSE
Keith Sowell,keith-sowell,manu,TRUE
Kelley Wentworth,kelley-wentworth,manu,FALSE
Lauren O'Connell,lauren-oconnell,manu,FALSE
Reem Daly,reem-daly,manu,TRUE
Rick Devens,rick-devens,manu,FALSE
Ron Clark,ron-clark,kama,FALSE
Victoria Baamonde,victoria-baamonde,kama,FALSE
Wendy Diaz,wendy-diaz,manu,FALSE