player ,pickOne,pickTwo,pickThree,random
Team Morrison,gavin-whitson,julie-rosenberg,wendy-diaz,dan-thewardog-dasilva
Team RedRob,gavin-whitson,eric-hafemann,david-wright,chris-underwood
Alex,chris-underwood,victoria-baamonde,kelley-wentworth,aurora-mccreary
Jenna,julie-rosenberg,aurora-mccreary,david-wright,aubry-bracco
Erin,eric-hafemann,joe-anglim,kelley-wentworth,dan-thewardog-dasilva
Ben,keith-sowell,joe-anglim,kelley-wentworth,julie-rosenberg
A-M,ron-clark,rick-devens,lauren-oconnell,keith-sowell
Roxanne,joe-anglim,julie-rosenberg,dan-thewardog-dasilva,lauren-oconnell
Allen,chris-underwood,aurora-mccreary,eric-hafemann,wendy-diaz
Tanya,chris-underwood,eric-hafemann,keith-sowell,julia-carter
Team Leagle,eric-hafemann,gavin-whitson,aurora-mccreary,david-wright
Team Kozak,joe-anglim,rick-devens,ron-clark,victoria-baamonde
Richard,keith-sowell,david-wright,aurora-mccreary,lauren-oconnell
Blaise & Amie,keith-sowell,david-wright,joe-anglim,chris-underwood